countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Unknown,national,2025-01-15,SURVEY,fcs,4501062,0.2965325928707062
ZWE,Zimbabwe,Unknown,national,2025-01-15,SURVEY,rcsi,8885207,0.5853627040942525
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-15,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-15,SURVEY,fcs,94628,0.1420968856053098
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-15,SURVEY,rcsi,295257,0.443368771961438
ZWE,Zimbabwe,Harare,subnational,2025-01-15,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-15,SURVEY,fcs,506978,0.2088728247134878
ZWE,Zimbabwe,Harare,subnational,2025-01-15,SURVEY,rcsi,1393744,0.5742167238173557
ZWE,Zimbabwe,Manicaland,subnational,2025-01-15,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-15,SURVEY,fcs,586820,0.28797278583073
ZWE,Zimbabwe,Manicaland,subnational,2025-01-15,SURVEY,rcsi,1310170,0.6429461881079882
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-15,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-15,SURVEY,fcs,571623,0.412756671824714
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-15,SURVEY,rcsi,896257,0.6471678998563785
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-15,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-15,SURVEY,fcs,560646,0.3238517520698298
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-15,SURVEY,rcsi,941741,0.5439876015275121
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-15,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-15,SURVEY,fcs,484072,0.2556387959724923
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-15,SURVEY,rcsi,1068265,0.5641515691458181
ZWE,Zimbabwe,Masvingo,subnational,2025-01-15,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-15,SURVEY,fcs,473549,0.2890068530562897
ZWE,Zimbabwe,Masvingo,subnational,2025-01-15,SURVEY,rcsi,1018332,0.6214878010227404
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-15,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-15,SURVEY,fcs,351618,0.42485132173228
